17 0 13 0xCCCCCC 
18 3 13 0xCCCCCC 
19 6 13 0xCCCCCC 
20 8 13 0x000000 21
21 5 13 0x000000 
22 4 13 0x000000 
23 3 13 0x666666 
00 2 13 0x666666 
01 0 13 0x666666 
02 0 12 0x666666 
03 0 12 0x666666 
04 0 12 0x666666 
05 0 13 0x666666 
06 2 13 0x666666 
07 3 13 0x666666 
08 2 13 0x666666 
09 0 12 0x666666 
10 0 10 0x999999 
11 0 7 0x999999 
12 0 6 0x999999 
13 0 5 0x999999 
14 0 4 0x999999 4
15 0 5 0x999999 
16 0 7 0x999999 
17 0 10 0x999999 
18 2 13 0x666666 
19 4 13 0x000000 
20 6 13 0x000000 
21 6 13 0x000000 
22 5 13 0x000000 
23 4 13 0x000000 
