08 7 0xCCCCCC 
09 1 0xCCCCCC 
10 0 0xCCCCCC 
11 0 0x999999 0
12 0 0x999999 0
13 0 0x999999 0
14 0 0x999999 0
15 0 0x999999 0
16 0 0x999999 0
17 7 0x666666 
18 12 0x666666 
19 13 0x000000 
20 15 0x000000 15
21 15 0x000000 15
22 15 0x000000 15
23 13 0x000000 
