11 0.0 0xCCCCCC 
12 0.0 0xCCCCCC 
13 0.0 0xCCCCCC 
14 0.0 0x999999 0.0
15 0.0 0x999999 0.0
16 0.1 0x666666 0.1
17 0.1 0x666666 0.1
18 0.2 0x000000 0.2
19 0.2 0x000000 0.2
20 0.2 0x000000 0.2
21 0.2 0x000000 0.2
22 0.1 0x666666 0.1
23 0.1 0x666666 0.1
00 0.1 0x666666 0.1
01 0.1 0x666666 0.1
02 0.1 0x666666 0.1
03 0.1 0x666666 0.1
04 0.1 0x666666 0.1
05 0.1 0x666666 0.1
06 0.2 0x000000 0.2
07 0.2 0x000000 0.2
08 0.2 0x000000 0.2
09 0.1 0x666666 0.1
10 0.1 0x666666 0.1
11 0.0 0x666666 0.0
12 0.0 0x999999 0.0
13 0.0 0x999999 0.0
14 0.0 0x999999 0.0
15 0.1 0x666666 0.1
16 0.1 0x666666 0.1
17 0.2 0x000000 0.2
18 0.2 0x000000 0.2
19 0.2 0x000000 0.2
20 0.2 0x000000 0.2
21 0.2 0x000000 0.2
22 0.2 0x000000 0.2
23 0.2 0x000000 0.2
