04 23.1 0xCCCCCC 
05 23.6 0xCCCCCC 
06 24.5 0xCCCCCC 
07 26.0 0x666666 
08 27.3 0x000000 
09 26.8 0x000000 
10 25.2 0x999999 25.2
11 25.0 0x999999 25.0
12 24.7 0x999999 24.7
13 24.8 0x999999 24.8
14 25.6 0x666666 
15 27.1 0x000000 
16 27.6 0x000000 27.6
17 27.9 0x000000 27.9
18 27.7 0x000000 27.7
19 27.1 0x000000 
20 26.4 0x666666 
21 25.2 0x999999 25.2
22 25.3 0x666666 25.3
23 24.9 0x999999 24.9
