08 26.9 0xCCCCCC 
09 27.5 0xCCCCCC 
10 27.2 0xCCCCCC 
11 26.9 0x666666 
12 26.8 0x666666 
13 27.0 0x666666 
14 27.5 0x000000 27.5
15 27.7 0x000000 27.7
16 27.8 0x000000 27.8
17 28.2 0x000000 28.2
18 27.7 0x000000 27.7
19 26.2 0x666666 
20 25.4 0x999999 25.4
21 25.0 0x999999 25.0
22 25.1 0x999999 25.1
23 24.8 0x999999 24.8
