22 15 2 11 0xCCCCCC 
23 14 2 11 0xCCCCCC 
00 13 2 11 0xCCCCCC 
01 12 2 11 0x666666 
02 11 2 11 0x666666 
03 11 2 11 0x666666 
04 11 2 11 0x666666 
05 11 2 11 0x666666 
06 13 2 11 0x666666 
07 14 2 11 0x666666 
08 15 2 11 0x666666 
09 13 2 11 0x666666 
10 5 2 11 0x999999 
11 1 2 11 0x999999 
12 0 2 11 0x999999 13.2
13 0 2 11 0x999999 13.0
14 0 2 11 0x999999 12.9
15 0 2 11 0x999999 13.0
16 1 2 11 0x999999 
17 6 2 11 0x999999 
18 12 2 11 0x666666 
19 16 2 11 0x666666 
20 18 2 11 0x000000 
21 19 2 11 0x000000 32.1
22 19 2 11 0x000000 31.7
23 16 2 11 0x666666 
