19 4 2 11 0xCCCCCC 
20 11 2 11 0xCCCCCC 
21 13 2 11 0xCCCCCC 
22 14 2 11 0x000000 
23 13 2 11 0x000000 
00 10 2 11 0x666666 
01 6 2 11 0x666666 
02 4 2 11 0x999999 
03 4 2 11 0x999999 
04 3 2 11 0x999999 
05 3 2 11 0x999999 
06 1 2 11 0x999999 
07 0 2 11 0x999999 
08 0 2 11 0x999999 
09 0 2 11 0x999999 
10 0 1 11 0x999999 
11 0 1 11 0x999999 
12 0 0 11 0x999999 
13 0 0 10 0x999999 10.3
14 0 0 10 0x999999 10.1
15 0 0 11 0x999999 
16 0 1 11 0x999999 
17 0 2 11 0x999999 
18 1 2 11 0x999999 
19 8 2 11 0x666666 
20 16 2 11 0x000000 28.7
21 16 2 11 0x000000 29.0
22 15 2 11 0x000000 
23 14 2 11 0x000000 
