13 0 2 11 0xCCCCCC 
14 0 2 11 0x999999 13.0
15 0 2 11 0x999999 13.0
16 0 2 11 0x999999 13.1
17 6 2 11 0x999999 
18 12 2 11 0x666666 
19 16 2 11 0x666666 
20 19 2 11 0x000000 
21 19 2 11 0x000000 
22 18 2 11 0x000000 
23 17 2 11 0x666666 
00 9 2 11 0x999999 
01 8 2 11 0x999999 
02 7 2 11 0x999999 
03 7 2 11 0x999999 
04 8 2 11 0x999999 
05 11 2 11 0x666666 
06 14 2 11 0x666666 
07 16 2 11 0x666666 
08 15 2 11 0x666666 
09 9 2 11 0x999999 
10 3 2 11 0x999999 
11 0 2 11 0x999999 13.3
12 0 2 11 0x999999 13.1
13 0 2 11 0x999999 13.3
14 0 2 11 0x999999 13.0
15 0 2 11 0x999999 13.1
16 0 2 11 0x999999 13.1
17 2 2 11 0x999999 
18 12 2 11 0x666666 
19 18 2 11 0x000000 
20 21 2 11 0x000000 
21 22 2 11 0x000000 34.7
22 21 2 11 0x000000 
23 19 2 11 0x000000 
