13 1 2 11 0xCCCCCC 
14 1 2 11 0xCCCCCC 
15 1 2 11 0xCCCCCC 
16 3 2 11 0x999999 
17 9 2 11 0x999999 
18 15 2 11 0x666666 
19 19 2 11 0x666666 
20 21 2 11 0x000000 
21 22 2 11 0x000000 34.8
22 21 2 11 0x000000 
23 19 2 11 0x666666 
00 18 2 11 0x666666 
01 18 2 11 0x666666 
02 17 2 11 0x666666 
03 17 2 11 0x666666 
04 17 2 11 0x666666 
05 18 2 11 0x666666 
06 19 2 11 0x666666 
07 19 2 11 0x666666 
08 18 2 11 0x666666 
09 14 2 11 0x666666 
10 9 2 11 0x999999 
11 5 2 11 0x999999 
12 1 2 11 0x999999 
13 1 2 11 0x999999 
14 0 2 11 0x999999 13.3
15 1 2 11 0x999999 
16 7 2 11 0x999999 
17 12 2 11 0x999999 
18 16 2 11 0x666666 
19 19 2 11 0x666666 
20 21 2 11 0x666666 
21 21 2 11 0x000000 
22 20 2 11 0x666666 
23 19 2 11 0x666666 
